IATA	ICAO	UF	PAÍS			AEROPORTO
BSB	SBBR	DF	Brasil	Aeroporto Internacional de Brasília / Presidente Juscelino Kubitschek
CGH	SBSP	SP	Brasil	Aeroporto Internacional de São Paulo / Congonhas
GIG	SBGL	RJ	Brasil	Aeroporto Internacional do Rio de Janeiro / Galeão-Antônio Carlos Jobim
SSA 	SBSV	BA	Brasil	Aeroporto Internacional de Salvador / Deputado Luis Eduardo Magalhães
FLN	SBFL 	SC 	Brasil	Aeroporto Internacional de Florianópolis / Hercílio Luz	
POA 	SBPA	RS	Brasil	Aeroporto Internacional de Porto Alegre / Salgado Filho
VCP	SBKP	PE 	Brasil	Aeroporto Internacional de Viracopos / Campinas
REC	SBRF	SP 	Brasil	Aeroporto Internacional do Recife/ Guararapes – Gilberto Freyre
CWB 	SBCT	PR 	Brasil	Aeroporto Internacional de Curitiba / Afonso Pena
BEL	SBBE	PA	Brasil 	Aeroporto Internacional de Belém / Val de Cans
VIX	SBVT	ES	Brasil	Aeroporto de Vitória – Eurico de Aguiar Salles	
SDU	SBRJ	RJ	Brasil	Aeroporto Santos Dumont
CGB	SBCY	MT	Brasil	Aeroporto Internacional de Cuiabá / Marechal Rondon
CGR	SBCG	MS	Brasil	Aeroporto Internacional de Campo Grande
FOR	SBFZ	CE	Brasil	Aeroporto Internacional de Fortaleza / Pinto Martins
MCP	SBMQ	AP	Brasil	Aeroporto Internacional de Macapá
MGF	SBMG	PR	Brasil	Aeroporto Regional de Maringá / Silvio Name Junior
GYN	SBGO	GO	Brasil	Aeroporto de Goiânia / Santa Genoveva
NVT	SBNF	SC	Brasil	Aeroporto Internacional de Navegantes / Ministro Victor Konder
MAO	SBEG	AM	Brasil	Aeroporto Internacional de Manaus / Eduardo Gomes
NAT	SBNT	RN	Brasil	Aeroporto Internacional de Natal / Augusto Severo
BPS	SBPS	BA	Brasil	Aeroporto Internacional de Porto Seguro
MCZ 	SBMO	AL	Brasil	Aeroporto de Maceió / Zumbi dos Palmares
PMW 	SSPS 	TO 	Brasil	Aeroporto de Palmas/Brigadeiro Lysias Rodrigues
SLZ	SBSL	MA 	Brasil	Aeroporto Internacional de São Luís / Marechal Cunha Machado	
GRU	SBGR 	SP 	Brasil	Aeroporto Internacional de São Paulo/Guarulhos-Governador André Franco Motoro
LDB	SBLO	RO 	Brasil	Aeroporto de Londrina / Governador José Richa
PVH	SBPV 	PR	Brasil	Aeroporto Internacional de Porto Velho / Governador Jorge Teixeira de Oliveira
RBR	SBRB	AC 	Brasil	Aeroporto Internacional de Rio Branco / Plácido de Castro
JOI 	SBJV	SC	Brasil	Aeroporto de Joinville / Lauro Carneiro de Loyola
UDI	SBUL	MG 	Brasil	Aeroporto de Uberlândia / Ten. Cel. Av. César Bombonato
CXJ 	SBCX	RS	Brasil	Aeroporto Regional de Caxias do Sul / Hugo Cantergiani
IGU 	SBFI	PR 	Brasil	Aeroporto Internacional de Foz do Iguaçu
THE	SBTE	PI 	Brasil	Aeroporto de Teresina – Senador Petrônio Portella
AJU 	SBAR 	SE	Brasil	Aeroporto Internacional de Aracaju / Santa Maria
JPA	SBJP	PB	Brasil	Aeroporto Internacional de João Pessoa / Presidente Castro Pinto	
PNZ	SBPL	PE 	Brasil	Aeroporto de Petrolina / Senador Nilo Coelho
CNF	SBCF	MG	Brasil	Aeroporto Internacional de Minas Gerais / Confins – Tancredo Neves
BVB	SBBV	RR	Brasil	Aeroporto Internacional de Boa Vista / Atlas Brasil Cantanhede
CPV 	SBKG	PB 	Brasil	Aeroporto de Campina Grande / Presidente João Suassuna
STM	SBSN	PA	Brasil	Aeroporto de Santarém / Maestro Wilson Fonseca	  
IOS	SBIL	BA 	Brasil	Aeroporto de Ilhéus/Bahia-Jorge Amado
JDO	SBJU	CE	Brasil	Aeroporto de Juazeiro do Norte – Orlando Bezerra
IMP	SBIZ	MA	Brasil	Aeroporto de Imperatriz – Prefeito Renato Moreira
XAP	SBCH	SC	Brasil	Aeroporto de Chapecó – Serafin Enoss Bertaso
MAB	SBMA	PA	Brasil	Aeroporto de Marabá
CZS	SBCZ	AC	Brasil	Aeroporto Internacional de Cruzeiro do Sul
PPB	SBDN	SP	Brasil	Aeroporto Estadual de Presidente Prudente	
CFB	SBCB	RJ	Brasil	Aeroporto Internacional de Cabo Frio
FEN	SBFN	PE	Brasil	Aeroporto de Fernando de Noronha
JTC	SJTC	SP	Brasil	Aeroporto Estadual de Bauru/Arealva
MOC	SBMK	MG	Brasil	Aeroporto de Montes Claros/Mário Ribeiro
